"Protein count, spectral count, and NSAF Raw Data of Ixodes scapularis saliva proteins",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feeding Time Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24h-1,,,24h-2,,,24h-3,,,48h-1,,,48h-2,,,48h-3,,,72h-1,,,72h-2,,,72h-3,,,96h-1,,,96h-2,,,96h-3,,,120h-1,,,120h-2,,,120h-3,,,BD-1,,,BD-2,,,BD-3,,,SD-1,,,SD-2,,,SD-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCBI Accession Number:,PeptideCount,SpecCount,NSAF,PeptideCount,SpecCount,NSAF,PeptideCount,SpecCount,NSAF,PeptideCount,SpecCount,NSAF,PeptideCount,SpecCount,NSAF,PeptideCount,SpecCount,NSAF,PeptideCount,SpecCount,NSAF,PeptideCount,SpecCount,NSAF,PeptideCount,SpecCount,NSAF,PeptideCount,SpecCount,NSAF,PeptideCount,SpecCount,NSAF,PeptideCount,SpecCount,NSAF,PeptideCount,SpecCount,NSAF,PeptideCount,SpecCount,NSAF,PeptideCount,SpecCount,NSAF,PeptideCount,SpecCount,NSAF,PeptideCount,SpecCount,NSAF,PeptideCount,SpecCount,NSAF,PeptideCount,SpecCount,NSAF,PeptideCount,SpecCount,NSAF,PeptideCount,SpecCount,NSAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi|198443749|gb|ACH88101.1|,2,4,0.002477474,3,7,0.003793876,3,9,0.003267712,3,15,0.003260331,3,11,0.00238743,3,11,0.002854799,-1,-1,-1,1,3,0.00144712,1,3,0.00054428,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi|212549820|gb|ACJ26770.1|,10,12,0.001670545,17,31,0.003776369,25,56,0.004570008,39,103,0.005031938,36,104,0.005073397,34,101,0.005891582,30,106,0.002697785,8,21,0.002276828,20,51,0.002079691,34,100,0.006206087,29,86,0.00624071,23,66,0.007242134,19,31,0.002208652,29,52,0.002758048,23,39,0.002520457,18,54,0.004674829,7,14,0.003575146,8,21,0.004528755,23,63,0.002913536,23,53,0.003149831,26,66,0.002872669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi|215490506|gb|EEC00149.1|,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,8,0.000973061,4,8,0.001250466,4,7,0.000801327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi|215490557|gb|EEC00200.1|,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,0.001284532,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi|215490560|gb|EEC00203.1|,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,17,0.002444104,6,11,0.002032334,8,17,0.002300284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi|215490625|gb|EEC00268.1|,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,6,0.003288687,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,27,0.041428497,5,28,0.031983519,5,29,0.040362907,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi|215490698|gb|EEC00341.1|,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0.000250182,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi|215490731|gb|EEC00374.1|,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,0.003250599,1,2,0.002163912,1,1,0.001293762,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0.001376455,1,1,0.001609458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0.000965352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi|215490777|gb|EEC00418.1|,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0.001376455,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,0.002051416,1,3,0.003954365,1,2,0.001930704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi|215490798|gb|EEC00439.1|,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0.000288195,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi|215490921|gb|EEC00562.1|,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,0.001518784,11,18,0.002931289,9,15,0.003139128,9,11,0.001685934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi|215490953|gb|EEC00594.1|,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,12,0.006358835,6,16,0.008466107,6,10,0.006327159,6,17,0.00469298,-1,-1,-1,7,16,0.007076961,4,8,0.005385253,4,10,0.007871071,4,10,0.011902025,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,7,0.00657307,-1,-1,-1,-1,-1,-1,4,8,0.004012989,2,2,0.001289258,3,7,0.003304744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi|215490989|gb|EEC00630.1|,2,4,0.005045588,2,5,0.005518966,4,15,0.011091625,5,18,0.007967931,7,26,0.011492482,7,31,0.016385028,6,36,0.008301928,4,26,0.025542259,4,16,0.005911851,6,31,0.017432294,6,29,0.019068149,5,23,0.022867854,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,16,0.01255067,1,5,0.011569397,1,5,0.009770224,6,25,0.010475982,5,25,0.013462521,5,18,0.007098867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi|215491086|gb|EEC00727.1|,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,0.00057846,3,5,0.001444045,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,0.001469681,1,2,0.000859232,1,1,0.000649632,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,0.000821384,1,2,0.000703698,1,1,0.000257684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi|215491271|gb|EEC00912.1|,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0.000180374,-1,-1,-1,3,5,0.0008488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi|215491416|gb|EEC01057.1|,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,0.001096229,2,2,0.002334967,2,2,0.00087821,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi|215491495|gb|EEC01136.1|,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,0.003573455,1,2,0.010541006,1,1,0.00445088,1,3,0.002863435,1,4,0.004906341,1,3,0.00269494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi|215491497|gb|EEC01138.1|,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5,0.001249499,2,5,0.001605712,2,5,0.001175974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi|215491512|gb|EEC01153.1|,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0.000293686,1,1,0.000377411,1,1,0.000276404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi|215491529|gb|EEC01170.1|,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,0.000336875,4,5,0.000721521,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi|215491559|gb|EEC01200.1|,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,0.000815926,-1,-1,-1,-1,-1,-1,9,20,0.002905811,7,18,0.003360792,9,25,0.003418529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
